,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
212,Horticulture,Onions Dry,net,13,KES819.00,10/1/2012,1,28,7,13,1,10,2012,819
213,Horticulture,Spring Onions,Bag,142,KES1852.00,10/1/2012,1,36,0,142,1,10,2012,1852
214,Horticulture,Chillies,Bag,38,KES2592.00,10/1/2012,1,10,0,38,1,10,2012,2592
215,Horticulture,Cucumber,Bag,50,KES2020.00,10/1/2012,1,13,0,50,1,10,2012,2020
216,Horticulture,Capsicums,Bag,50,KES2439.00,10/1/2012,1,6,0,50,1,10,2012,2439
217,Horticulture,Brinjals,Bag,44,KES1386.00,10/1/2012,1,4,0,44,1,10,2012,1386
218,Horticulture,Cauliflower,crate,39,KES1883.00,10/1/2012,1,9,6,39,1,10,2012,1883
219,Horticulture,Lettuce,Bag,51,KES4944.00,10/1/2012,1,23,0,51,1,10,2012,4944
220,Horticulture,Passion Fruits,Bag,57,KES3429.00,10/1/2012,1,30,0,57,1,10,2012,3429
221,Horticulture,Oranges,Bag,93,KES3003.00,10/1/2012,1,29,0,93,1,10,2012,3003
222,Horticulture,Lemons,Bag,95,KES1455.00,10/1/2012,1,22,0,95,1,10,2012,1455
223,Horticulture,Mangoes Local,Bag,126,KES1862.00,10/1/2012,1,25,0,126,1,10,2012,1862
224,Horticulture,Mangoes Ngowe,Sm Basket,25,KES1174.00,10/1/2012,1,26,5,25,1,10,2012,1174
225,Horticulture,Limes,net,13,KES680.00,10/1/2012,1,24,7,13,1,10,2012,680
226,Horticulture,Pineapples,Dozen,13,KES841.00,10/1/2012,1,32,1,13,1,10,2012,841
227,Horticulture,Pawpaw,Lg Box,54,KES1431.00,10/1/2012,1,31,3,54,1,10,2012,1431
228,Horticulture,Avocado,Bag,90,KES1860.00,10/1/2012,1,0,0,90,1,10,2012,1860
229,Horticulture,Kales,Bag,50,KES749.00,10/1/2012,1,21,0,50,1,10,2012,749
230,Horticulture,Cabbages,Ext Bag,126,KES1410.00,11/1/2012,1,5,2,126,1,11,2012,1410
231,Horticulture,Cooking Bananas,Med Bunch,22,KES548.00,11/1/2012,1,11,4,22,1,11,2012,548
232,Horticulture,Ripe Bananas,Med Bunch,14,KES593.00,11/1/2012,1,34,4,14,1,11,2012,593
233,Horticulture,Carrots,Ext Bag,138,KES2515.00,11/1/2012,1,7,2,138,1,11,2012,2515
234,Horticulture,Tomatoes,Lg Box,64,KES3392.00,11/1/2012,1,38,3,64,1,11,2012,3392
235,Horticulture,Onions Dry,net,13,KES907.00,11/1/2012,1,28,7,13,1,11,2012,907
236,Horticulture,Spring Onions,Bag,142,KES2015.00,11/1/2012,1,36,0,142,1,11,2012,2015
237,Horticulture,Chillies,Bag,38,KES2387.00,11/1/2012,1,10,0,38,1,11,2012,2387
238,Horticulture,Cucumber,Bag,50,KES1756.00,11/1/2012,1,13,0,50,1,11,2012,1756
239,Horticulture,Capsicums,Bag,50,KES2088.00,11/1/2012,1,6,0,50,1,11,2012,2088
240,Horticulture,Brinjals,Bag,44,KES1325.00,11/1/2012,1,4,0,44,1,11,2012,1325
241,Horticulture,Cauliflower,crate,39,KES1364.00,11/1/2012,1,9,6,39,1,11,2012,1364
242,Horticulture,Lettuce,Bag,51,KES2182.00,11/1/2012,1,23,0,51,1,11,2012,2182
243,Horticulture,Passion Fruits,Bag,57,KES3505.00,11/1/2012,1,30,0,57,1,11,2012,3505
244,Horticulture,Oranges,Bag,93,KES2678.00,11/1/2012,1,29,0,93,1,11,2012,2678
245,Horticulture,Lemons,Bag,95,KES1546.00,11/1/2012,1,22,0,95,1,11,2012,1546
246,Horticulture,Mangoes Local,Bag,126,KES1807.00,11/1/2012,1,25,0,126,1,11,2012,1807
247,Horticulture,Mangoes Ngowe,Sm Basket,25,KES875.00,11/1/2012,1,26,5,25,1,11,2012,875
248,Horticulture,Limes,net,13,KES847.00,11/1/2012,1,24,7,13,1,11,2012,847
249,Horticulture,Pineapples,Dozen,13,KES778.00,11/1/2012,1,32,1,13,1,11,2012,778
250,Horticulture,Pawpaw,Lg Box,54,KES1298.00,11/1/2012,1,31,3,54,1,11,2012,1298
251,Horticulture,Avocado,Bag,90,KES1847.00,11/1/2012,1,0,0,90,1,11,2012,1847
252,Horticulture,Kales,Bag,50,KES670.00,11/1/2012,1,21,0,50,1,11,2012,670
253,Horticulture,Cabbages,Ext Bag,126,KES1504.00,12/1/2012,1,5,2,126,1,12,2012,1504
254,Horticulture,Cooking Bananas,Med Bunch,22,KES547.00,12/1/2012,1,11,4,22,1,12,2012,547
255,Horticulture,Ripe Bananas,Med Bunch,14,KES577.00,12/1/2012,1,34,4,14,1,12,2012,577
256,Horticulture,Carrots,Ext Bag,138,KES2507.00,12/1/2012,1,7,2,138,1,12,2012,2507
257,Horticulture,Tomatoes,Lg Box,64,KES3348.00,12/1/2012,1,38,3,64,1,12,2012,3348
